A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6         	8.75 MS 14               	0.00875                  	          	        	BNA     	0.03        
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6         	8.75 MS 14               	0.00875                  	          	        	B-      	100.00      
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6         	8.75 MS 14               	0.00875                  	          	        	BN      	86.60       
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6         	8.75 MS 14               	0.00875                  	          	        	B2N     	4.20        
12 	Li     	3  	9  	        	              	49.01               	3         	10 NS LT                 	1E-8                     	          	        	N       	?           
13 	Li     	3  	10 	        	              	56.98               	7         	                         	                         	          	        	        	            
5  	Be     	4  	1  	        	(1/2+)        	37.1                	20        	                         	                         	          	        	P       	            
6  	Be     	4  	2  	0.0000  	0+            	18.375              	5         	92 KEV 6                 	4.953E-21                	          	        	P       	100.00      
6  	Be     	4  	2  	0.0000  	0+            	18.375              	5         	92 KEV 6                 	4.953E-21                	          	        	A       	100.00      
7  	Be     	4  	3  	0.0000  	3/2-          	15.76900            	7         	53.22 D 6                	4598208                  	          	        	EC      	100.00      
8  	Be     	4  	4  	0.0000  	0+            	4.94167             	4         	5.57 EV 25               	8.181E-17                	          	        	A       	100.00      
9  	Be     	4  	5  	0.0000  	3/2-          	11.34845            	8         	STABLE                   	infinity                 	100.%     	        	        	            
10 	Be     	4  	6  	0.0000  	0+            	12.60749            	8         	1.51E+6 Y 4              	4.765E13                 	          	        	B-      	100.00      
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	24        	13.76 S 7                	13.76                    	          	        	B-      	100.00      
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	24        	13.76 S 7                	13.76                    	          	        	BN      	?           
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	24        	13.76 S 7                	13.76                    	          	        	BA      	3.10        
12 	Be     	4  	8  	0.000   	0+            	25.0778             	19        	21.47 MS 4               	0.0215                   	          	        	B-      	100.00      
12 	Be     	4  	8  	0.000   	0+            	25.0778             	19        	21.47 MS 4               	0.0215                   	          	        	BN      	0.50        
13 	Be     	4  	9  	0.0000  	(1/2-)        	33.659              	10        	2.7E-21 S 18             	2.7E-21                  	          	        	N       	            
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	BN      	86.00       
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	B2N     	5.00        
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	B3N     	? 0.00      
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	B-      	100.00      
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	BA      	?           
15 	Be     	4  	11 	        	(5/2+)        	49.83               	17        	0.58 MEV 20              	7.857E-22                	          	        	N       	100.00      
16 	Be     	4  	12 	        	0+            	57.45               	17        	0.8 MEV 2                	5.696E-22                	          	        	N       	100.00      
6  	B      	5  	1  	        	              	47.3                	20        	                         	                         	          	        	2P      	?           
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	3         	1.4 MEV 2                	3.255E-22                	          	        	A       	            
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	3         	1.4 MEV 2                	3.255E-22                	          	        	P       	            
8  	B      	5  	3  	0.0000  	2+            	22.9216             	10        	770 MS 3                 	0.77                     	          	        	EA      	100.00      
8  	B      	5  	3  	0.0000  	2+            	22.9216             	10        	770 MS 3                 	0.77                     	          	        	EC      	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9         	0.54 KEV 21              	8.439E-19                	          	        	P       	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9         	0.54 KEV 21              	8.439E-19                	          	        	2A      	100.00      
10 	B      	5  	5  	0.0000  	3+            	12.050609           	15        	STABLE                   	infinity                 	19.9%     	7       	        	            
11 	B      	5  	6  	0.0000  	3/2-          	8.667707            	12        	STABLE                   	infinity                 	80.1%     	7       	        	            
12 	B      	5  	7  	0.0000  	1+            	13.3694             	13        	20.20 MS 2               	0.0202                   	          	        	B-      	100.00      
12 	B      	5  	7  	0.0000  	1+            	13.3694             	13        	20.20 MS 2               	0.0202                   	          	        	B3A     	1.58        
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	10        	17.33 MS 17              	0.0173                   	          	        	B-      	100.00      
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	10        	17.33 MS 17              	0.0173                   	          	        	BN      	0.26        
14 	B      	5  	9  	0.000   	2-            	23.664              	21        	12.36 MS 29              	0.0124                   	          	        	B-      	100.00      
14 	B      	5  	9  	0.000   	2-            	23.664              	21        	12.36 MS 29              	0.0124                   	          	        	BN      	6.04        
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	B-      	100.00      
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	BN      	99.60       
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	B2N     	< 1.50      
16 	B      	5  	11 	0.0000  	0-            	37.113              	25        	190 PS LT                	1.9E-10                  	          	        	N       	            
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B3N     	3.50        
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B-      	100.00      
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	BN      	63.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B2N     	12.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B4N     	0.40        
18 	B      	5  	13 	0.0000  	(4-)          	51.79               	20        	26 NS LT                 	2.6E-8                   	          	        	N       	?           
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B2N     	16.00       
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B3N     	< 9.10      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B-      	100.00      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	BN      	71.80       
20 	B      	5  	15 	        	              	68.5                	8         	                         	                         	          	        	        	            
21 	B      	5  	16 	        	              	77.3                	9         	                         	                         	          	        	        	            
8  	C      	6  	2  	0.0000  	0+            	35.064              	18        	230 KEV 50               	1.981E-21                	          	        	P       	100.00      
8  	C      	6  	2  	0.0000  	0+            	35.064              	18        	230 KEV 50               	1.981E-21                	          	        	A       	            
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EC      	100.00      
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EP      	61.60       
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EA      	38.40       
10 	C      	6  	4  	0.0000  	0+            	15.69867            	7         	19.308 S 4               	19.308                   	          	        	EC      	100.00      
11 	C      	6  	5  	0.0000  	3/2-          	10.64940            	6         	20.364 M 14              	1221.84                  	          	        	EC      	100.00      
12 	C      	6  	6  	0.0000  	0+            	0                   	          	STABLE                   	infinity                 	98.93%    	8       	        	            
13 	C      	6  	7  	0.0000  	1/2-          	3.12500888          	21        	STABLE                   	infinity                 	1.07%     	8       	        	            
14 	C      	6  	8  	0.0000  	0+            	3.019893            	4         	5700 Y 30                	1.799E11                 	          	        	B-      	100.00      
15 	C      	6  	9  	0.0000  	1/2+          	9.8731              	8         	2.449 S 5                	2.449                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	4         	0.747 S 8                	0.747                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	4         	0.747 S 8                	0.747                    	          	        	BN      	99.20       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	BN      	28.40       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	B2N     	?           
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B3N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	BN      	22.00       
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B2N     	?           
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B3N     	?           
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B-      	100.00      
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	BN      	47.00       
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B2N     	7.00        
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B-      	100.00      
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	BN      	66.00       
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B2N     	< 18.60     
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B3N     	?           
21 	C      	6  	15 	0.0000  	(1/2+)        	45.6                	6         	30 NS LT                 	3.0000000000000004E-8    	          	        	N       	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B3N     	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B-      	100.00      
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	BN      	61.00       
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B2N     	< 37.00     
23 	C      	6  	17 	        	              	64.2                	10        	                         	                         	          	        	        	            
10 	N      	7  	3  	0.0000  	              	38.8                	4         	                         	                         	          	        	P       	100.00      
11 	N      	7  	4  	0.0000  	1/2+          	24.30               	5         	0.83 MEV 3               	5.49E-22                 	          	        	P       	100.00      
12 	N      	7  	5  	0.0000  	1+            	17.3381             	10        	11.000 MS 16             	0.011                    	          	        	EC      	100.00      
13 	N      	7  	6  	0.0000  	1/2-          	5.3455              	3         	9.965 M 4                	597.9                    	          	        	EC      	100.00      
14 	N      	7  	7  	0.0000  	1+            	2.86341672          	19        	STABLE                   	infinity                 	99.63     	6% 20   	        	            
15 	N      	7  	8  	0.0000  	1/2-          	0.1014387           	6         	STABLE                   	infinity                 	0.364%    	20      	        	            
16 	N      	7  	9  	0.0000  	2-            	5.6839              	23        	7.13 S 2                 	7.13                     	          	        	BA      	1.2E-3      
16 	N      	7  	9  	0.0000  	2-            	5.6839              	23        	7.13 S 2                 	7.13                     	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	BA      	0.00        
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	BN      	95.10       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	BA      	12.20       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	BN      	10.90       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	B2N     	?           
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	B2N     	?           
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	BN      	41.80       
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	B-      	100.00      
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	BN      	42.90       
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B-      	100.00      
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	BN      	86.00       
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	BN      	34.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B2N     	12.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B-      	100.00      
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	BN      	42.20       
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B2N     	8.00        
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B3N     	< 3.40      
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B-      	100.00      
24 	N      	7  	17 	0.0000  	              	46.9                	4         	52 NS LT                 	5.2E-8                   	          	        	N       	?           
25 	N      	7  	18 	        	              	56.0                	5         	                         	                         	          	        	        	            
12 	O      	8  	4  	0.0000  	0+            	31.915              	24        	0.40 MEV 25              	1.139E-21                	          	        	P       	            
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	10        	8.58 MS 5                	0.00858                  	          	        	EC      	100.00      
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	10        	8.58 MS 5                	0.00858                  	          	        	EP      	11.30       
14 	O      	8  	6  	0.0000  	0+            	8.00778             	3         	70.620 S 15              	70.62                    	          	        	EC      	100.00      
15 	O      	8  	7  	0.0000  	1/2-          	2.8556              	5         	122.24 S 16              	122.24                   	          	        	EC      	100.00      
16 	O      	8  	8  	0.0000  	0+            	-4.73700135         	16        	STABLE                   	infinity                 	99.757%   	16      	        	            
17 	O      	8  	9  	0.0000  	5/2+          	-0.8087635          	7         	STABLE                   	infinity                 	0.038%    	1       	        	            
18 	O      	8  	10 	0.0000  	0+            	-0.7828156          	7         	STABLE                   	infinity                 	0.205%    	14      	        	            
19 	O      	8  	11 	0.0000  	5/2+          	3.333               	3         	26.88 S 5                	26.88                    	          	        	B-      	100.00      
20 	O      	8  	12 	0.0000  	0+            	3.7962              	9         	13.51 S 5                	13.51                    	          	        	B-      	100.00      
21 	O      	8  	13 	0.0000  	(5/2+)        	8.062               	12        	3.42 S 10                	3.42                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	6         	2250 MS 90               	2.25                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	6         	2250 MS 90               	2.25                     	          	        	BN      	< 22.00     
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	12        	97 MS 8                  	0.097                    	          	        	BN      	7.00        
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	12        	97 MS 8                  	0.097                    	          	        	B-      	100.00      
24 	O      	8  	16 	0.0000  	0+            	18.50               	16        	72 MS 5                  	0.072                    	          	        	B-      	100.00      
24 	O      	8  	16 	0.0000  	0+            	18.50               	16        	72 MS 5                  	0.072                    	          	        	BN      	41.00       
25 	O      	8  	17 	0.0000  	(3/2+)        	27.33               	17        	6.3E-9 PS +11-6          	6.3E-21                  	          	        	N       	100.00      
26 	O      	8  	18 	0.0000  	0+            	34.66               	16        	4.5 PS +32-34            	4.5E-12                  	          	        	2N      	100.00      
27 	O      	8  	19 	        	              	44.7                	5         	260 NS LT                	2.6E-7                   	          	        	N       	?           
28 	O      	8  	20 	        	0+            	52.1                	7         	100 NS LT                	1.0000000000000001E-7    	          	        	N       	?           
14 	F      	9  	5  	0.0000  	2-            	31.96               	4         	910 KEV 100              	5.00769E-22              	          	        	P       	            
15 	F      	9  	6  	0.0000  	1/2+          	16.567              	14        	660 KEV 2                	6.905E-22                	          	        	P       	100.00      
16 	F      	9  	7  	0.0000  	0-            	10.680              	8         	40 KEV 20                	1.139E-20                	          	        	P       	100.00      
17 	F      	9  	8  	0.0000  	5/2+          	1.95170             	25        	64.49 S 16               	64.49                    	          	        	EC      	100.00      
18 	F      	9  	9  	0.0000  	1+            	0.8731              	5         	109.77 M 5               	6586.2                   	          	        	EC      	100.00      
19 	F      	9  	10 	0.0000  	1/2+          	-1.4874442          	9         	STABLE                   	infinity                 	100%      	        	        	            
20 	F      	9  	11 	0.0000  	2+            	-0.01746            	3         	11.07 S 6                	11.07                    	          	        	B-      	100.00      
21 	F      	9  	12 	0.0000  	5/2+          	-0.0476             	18        	4.158 S 20               	4.158                    	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	12        	4230 MS 40               	4.23                     	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	12        	4230 MS 40               	4.23                     	          	        	BN      	< 11.0      
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	3         	2230 MS 14               	2.23                     	          	        	BN      	< 14.00     
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	3         	2230 MS 14               	2.23                     	          	        	B-      	100.00      
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	10        	382 MS 16                	0.382                    	          	        	B-      	100.00      
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	10        	382 MS 16                	0.382                    	          	        	BN      	< 5.90      
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	BN      	19.50       
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	B2N     	?           
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	B-      	100.00      
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	B-      	100.00      
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	BN      	13.50       
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	B2N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B-      	100.00      
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	BN      	90.00       
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B2N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B3N     	?           
28 	F      	9  	19 	0.0000  	              	33.7                	4         	0.046 AS AP              	4.6E-20                  	          	        	N       	            
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B-      	100.00      
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	BN      	> 20.00     
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B2N     	?           
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B3N     	?           
30 	F      	9  	21 	0.0000  	              	48.1                	6         	                         	                         	          	        	N       	            
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B-      	100.00      
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	BN      	?           
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B2N     	?           
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B3N     	?           
16 	Ne     	10 	6  	0.0000  	0+            	23.987              	20        	9E-21 S                  	9E-21                    	          	        	2P      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EC      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EP      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EA      	            
18 	Ne     	10 	8  	0.0000  	0+            	5.3176              	4         	1.6670 S 17              	1.667                    	          	        	EC      	100.00      
19 	Ne     	10 	9  	0.0000  	1/2+          	1.75205             	16        	17.22 S 2                	17.22                    	          	        	EC      	100.00      
20 	Ne     	10 	10 	0.0000  	0+            	-7.0419305          	16        	STABLE                   	infinity                 	90.48%    	3       	        	            
21 	Ne     	10 	11 	0.0000  	3/2+          	-5.73178            	4         	STABLE                   	infinity                 	0.27%     	1       	        	            
22 	Ne     	10 	12 	0.0000  	0+            	-8.024719           	18        	STABLE                   	infinity                 	9.25%     	3       	        	            
23 	Ne     	10 	13 	0.0000  	5/2+          	-5.15405            	10        	37.24 S 12               	37.24                    	          	        	B-      	100.00      
24 	Ne     	10 	14 	0.0000  	0+            	-5.9516             	5         	3.38 M 2                 	202.8                    	          	        	B-      	100.00      
25 	Ne     	10 	15 	0.0000  	1/2+          	-2.04               	3         	602 MS 8                 	0.602                    	          	        	B-      	100.00      
26 	Ne     	10 	16 	0.0000  	0+            	0.481               	18        	197 MS 2                 	0.197                    	          	        	BN      	0.13        
26 	Ne     	10 	16 	0.0000  	0+            	0.481               	18        	197 MS 2                 	0.197                    	          	        	B-      	100.00      
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	B-      	100.00      
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	BN      	2.00        
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	B2N     	?           
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	BN      	12.00       
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	B2N     	3.70        
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	B-      	100.00      
